#RunNumber	RunDate	Meteo_MeanTemperature	Meteo_MeanWindSpeed	Meteo_MeanWindDirection	Meteo_MeanRelativeHumidity	Meteo_MeanPressure	Lidar_Opacity_355nm	Lidar_Opacity_532nm	TC	MeanSystemRate	ZenithEqMeanSystemRate	ZenithEqMeanSystemRate/MeanSystemRate	Telescope	TriggerRate	CorrectedTriggerRate	MedianNSB	NSBRelativeVariation	NSBRelativeDispersion	CTRadiometer_MeanTemp	CTRadiometer_TempRelativeVariation	CTRadiometer_TempRelativeDispersion	MedianScaler	ScalerRelativeVariation	ScalerRelativeDispersion	MedianTriggerRate	TriggerRateVariation	TriggerRateDispersion	Tracking_ZenithMean
67164	2011-09-21_19:35:25	14.62160	0.17974	130.01900	14.77530	825.00000	0.47871	0.06281	0.77931	108.27100	161.97400	1.49600	1.00000	86.41100	86.67060	1.09834	-0.68996	1.07965	-45.57200	-2.98332	0.20192	154.10700	0.82801	7.69325	86.50530	-14.81930	2.06002	48.75990
67165	2011-09-21_20:05:43	14.24450	0.34967	205.26000	14.69000	825.00300	0.50607	0.06491	0.77179	85.90720	159.00700	1.85091	1.00000	70.11760	69.79320	1.08287	-0.62183	0.85592	-43.82080	-3.62199	0.19814	172.87500	9.53610	11.92530	70.23260	-20.39240	2.46785	55.44880
67166	2011-09-21_20:36:01	13.32400	0.12313	70.46530	15.76470	825.00200	0.47312	0.06239	0.85637	182.26200	182.80900	1.00300	1.00000	127.12400	124.50000	0.65209	-4.58622	1.96795	-51.41830	0.38699	0.19881	62.95000	-14.10470	9.33669	127.31900	0.77920	1.85284	7.14531
67167	2011-09-21_21:07:08	12.44600	0.00000	90.00000	16.89850	825.00000	0.48629	0.06435	0.85397	180.14500	181.16200	1.00565	1.00000	126.08600	126.77200	0.67133	-0.96165	2.85110	-51.42010	-0.42930	0.21609	65.14770	-13.14070	9.85826	126.08200	-1.42632	1.70755	9.56074
67168	2011-09-21_21:37:42	11.67450	0.02189	85.60610	17.99110	825.00100	0.47802	0.06502	0.83629	174.61200	177.62800	1.01727	1.00000	123.25200	125.52300	0.66245	0.89122	1.25558	-50.84700	-0.52997	4.58910	61.64810	14.99300	9.81620	123.09200	0.04680	1.36765	15.63290
67169	2011-09-21_22:08:08	12.07930	0.00000	90.00000	15.84220	825.00000	0.46754	0.06490	0.84934	171.89400	176.14300	1.02472	1.00000	122.26500	123.99000	0.61129	9.09547	2.53734	-50.98010	0.00894	0.21459	53.92510	-0.80346	9.07346	122.10300	1.27730	1.82810	18.19410
67170	2011-09-21_22:38:59	11.30080	0.00000	90.00000	18.21870	825.00100	0.45584	0.06358	0.84475	166.02900	174.41600	1.05051	1.00000	116.69000	116.93900	0.69975	-0.04658	1.22822	-50.27360	-0.06996	0.20045	65.82040	-12.74660	9.45392	116.60100	-0.80722	1.93571	23.91630
67171	2011-09-21_23:11:18	13.24810	1.87747	112.08800	14.19290	825.00600	0.43733	0.06415	0.83440	169.40600	176.06200	1.03929	1.00000	119.12500	122.00100	0.66960	0.16897	1.19649	-51.04800	1.40670	0.29001	59.89980	-2.18572	9.21832	118.78400	3.04745	1.76021	21.78950
67172	2011-09-21_23:41:36	11.79820	1.25771	93.58600	15.84020	825.00000	0.44638	0.06272	0.82949	171.83900	180.34800	1.04952	1.00000	121.50000	122.51600	0.65794	-9.97999	1.08695	-51.17210	-0.55314	0.25504	59.57570	-8.27582	8.89999	121.50900	-3.23458	1.31637	23.73360
67189	2011-09-22_18:04:58	14.89310	0.07755	89.28960	13.01170	825.00000	0.46670	0.05797	0.96429	218.54000	231.02000	1.05711	1.00000	158.08800	158.98100	1.38745	0.35961	1.63743	-52.28910	0.29033	0.22139	218.23500	29.48830	8.11466	157.94600	-4.19424	1.43109	24.93110
67190	2011-09-22_18:35:09	13.95450	0.02602	91.69730	14.14360	826.00100	0.44122	0.05834	0.98098	207.01800	227.57600	1.09931	1.00000	154.38800	156.97300	1.50128	-0.21584	0.43418	-52.21220	-0.48732	0.20794	241.71400	23.14680	6.84858	153.99900	-3.04974	1.63759	30.22150
67191	2011-09-22_19:05:27	15.35140	0.15387	98.02610	12.01940	826.00100	0.45789	0.05978	0.95448	164.50100	222.69000	1.35373	1.00000	128.47200	130.85400	1.27678	-2.90284	0.69678	-50.10480	-2.11207	0.20791	156.85600	3.21881	5.90873	128.13900	-13.45020	1.78291	44.59620
67192	2011-09-22_19:35:53	13.28550	0.09898	84.00680	14.20110	826.00100	0.43947	0.06099	0.92609	131.08800	211.56400	1.61392	1.00000	105.09000	106.34800	1.29984	2.27668	1.61736	-48.36410	-3.38844	0.25367	199.67400	5.03940	5.48907	105.23700	-16.36490	1.82334	51.40690
67193	2011-09-22_20:06:05	11.24200	0.28389	67.32540	16.24190	826.00200	0.46747	0.06006	0.88368	111.70300	206.49100	1.84858	1.00000	90.78550	90.36690	1.26900	4.78111	0.98755	-47.21780	-3.43205	0.20442	175.96800	3.52080	5.27889	90.87170	-20.36580	1.85035	55.41750
67194	2011-09-22_20:36:23	10.19920	0.15486	80.29560	18.20100	826.00200	0.47479	0.06034	0.92107	197.97200	208.24500	1.05189	1.00000	144.43400	145.67600	0.63029	-4.33491	0.83371	-53.22380	1.03130	0.20128	35.94210	-10.13740	6.83803	144.17600	0.72942	1.66061	24.13870
67195	2011-09-22_21:07:38	11.50940	0.10942	79.16140	14.67000	826.00100	0.00000	0.00000	0.95707	202.72600	209.59000	1.03386	1.00000	145.86500	147.26500	0.59605	2.28325	1.20552	-53.82980	0.70362	0.20297	33.00130	-4.43695	6.31680	145.63700	0.16210	1.38836	20.58140
67198	2011-09-22_21:55:46	8.56189	0.00000	90.00000	20.11560	826.00200	0.44564	0.06200	0.94322	198.42500	214.35300	1.08027	1.00000	141.27900	141.29300	0.68460	1.27248	1.04840	-53.60490	0.98897	0.19282	35.09060	-1.53859	10.97430	141.35600	-0.85744	1.34436	28.17410
67199	2011-09-22_22:28:47	7.01587	0.00000	90.00000	23.38130	826.00000	0.45408	0.05907	0.93277	202.51400	213.61700	1.05483	1.00000	142.76500	143.52100	0.68634	2.49156	1.24033	-54.16440	0.73639	0.20239	37.30600	17.26410	11.09400	142.53800	0.93709	1.97958	24.65260
